Kod,Nazwa,ogółem
2818000,Powiat gołdapski,"9,70"
2819000,Powiat węgorzewski,"15,40"
2861000,Powiat m.Elbląg,"5,70"
2862000,Powiat m.Olsztyn,"2,70"
3001000,Powiat chodzieski,"7,20"
3002000,Powiat czarnkowsko-trzcianecki,"4,20"
3003000,Powiat gnieźnieński,"3,50"
3004000,Powiat gostyński,"4,80"
3005000,Powiat grodziski,"3,20"
3006000,Powiat jarociński,"3,70"
3007000,Powiat kaliski,"2,10"
3008000,Powiat kępiński,"1,60"
3009000,Powiat kolski,"4,00"
3010000,Powiat koniński,"8,50"
3011000,Powiat kościański,"2,70"
3012000,Powiat krotoszyński,"2,90"
3013000,Powiat leszczyński,"2,50"
3014000,Powiat międzychodzki,"4,30"
3015000,Powiat nowotomyski,"2,00"
3016000,Powiat obornicki,"2,70"
3017000,Powiat ostrowski,"2,60"
3018000,Powiat ostrzeszowski,"4,00"
3019000,Powiat pilski,"4,40"
3020000,Powiat pleszewski,"3,90"
3021000,Powiat poznański,"1,10"
3022000,Powiat rawicki,"3,80"
3023000,Powiat słupecki,"6,70"
3024000,Powiat szamotulski,"2,50"
3025000,Powiat średzki,"6,20"
3026000,Powiat śremski,"1,90"
3027000,Powiat turecki,"3,70"
3028000,Powiat wągrowiecki,"4,50"
3029000,Powiat wolsztyński,"1,60"
3030000,Powiat wrzesiński,"3,10"
3031000,Powiat złotowski,"5,60"
3061000,Powiat m.Kalisz,"2,60"
3062000,Powiat m.Konin,"5,70"
3063000,Powiat m.Leszno,"3,20"
3064000,Powiat m.Poznań,"1,10"
3201000,Powiat białogardzki,"17,00"
3202000,Powiat choszczeński,"16,10"
3203000,Powiat drawski,"11,60"
3204000,Powiat goleniowski,"5,20"
3205000,Powiat gryficki,"8,30"
3206000,Powiat gryfiński,"7,60"
3207000,Powiat kamieński,"14,80"
3208000,Powiat kołobrzeski,"1,30"
3209000,Powiat koszaliński,"11,50"
3210000,Powiat myśliborski,"6,80"
3211000,Powiat policki,"3,80"
3212000,Powiat pyrzycki,"10,50"
3213000,Powiat sławieński,"13,90"
3214000,Powiat stargardzki,"7,50"
3215000,Powiat szczecinecki,"14,60"
3216000,Powiat świdwiński,"12,40"
3217000,Powiat wałecki,"8,70"
3218000,Powiat łobeski,"19,00"
3261000,Powiat m.Koszalin,"4,30"
3262000,Powiat m.Szczecin,"2,40"
3263000,Powiat m.Świnoujście,"3,50"
